t_sched,t_actual,jitter_ns,tau_des_Nm,q_deg,dq_deg_s,ads_voltage,gait_phase,rise_time,peak_time,fall_time,stride1,stride2,stride3,stride4,stride5
256.864013671875,256.864013671875,2992.0,0.0,-11678.2470703125,-5.331766128540039,-0.0006250000442378223,1.0,0.699999988079071,0.800000011920929,0.10000000149011612,0.7939964532852173,0.7979998588562012,0.8680005669593811,0.841999351978302,0.790002167224884
256.8659973144531,256.8659973144531,3656.0,0.0,-11678.2470703125,-2.443726062774658,-0.0006250000442378223,1.0,0.699999988079071,0.800000011920929,0.10000000149011612,0.7939964532852173,0.7979998588562012,0.8680005669593811,0.841999351978302,0.790002167224884
256.8680114746094,256.8680114746094,3024.0,0.0,-11678.2470703125,-2.443726062774658,-0.0001250000059371814,1.0,0.699999988079071,0.800000011920929,0.10000000149011612,0.7939964532852173,0.7979998588562012,0.8680005669593811,0.841999351978302,0.790002167224884
256.8699951171875,256.8699951171875,5263.0,0.0,-11678.2470703125,-0.8886277079582214,-0.0006250000442378223,1.0,0.699999988079071,0.800000011920929,0.10000000149011612,0.7939964532852173,0.7979998588562012,0.8680005669593811,0.841999351978302,0.790002167224884
256.87200927734375,256.87200927734375,3520.0,0.0,-11678.2470703125,-1.110784649848938,0.0,1.0,0.699999988079071,0.800000011920929,0.10000000149011612,0.7939964532852173,0.7979998588562012,0.8680005669593811,0.841999351978302,0.790002167224884
256.8739929199219,256.8739929199219,3295.0,0.0,-11678.2470703125,-2.6658830642700195,-0.0008750000270083547,1.0,0.699999988079071,0.800000011920929,0.10000000149011612,0.7939964532852173,0.7979998588562012,0.8680005669593811,0.841999351978302,0.790002167224884
256.8760070800781,256.8760070800781,4515.0,0.0,-11678.2470703125,-3.3323538303375244,0.0,1.0,0.699999988079071,0.800000011920929,0.10000000149011612,0.7939964532852173,0.7979998588562012,0.8680005669593811,0.841999351978302,0.790002167224884
256.87799072265625,256.87799072265625,3069.0,0.0,-11678.2470703125,-5.5539231300354,0.000375000003259629,1.0,0.699999988079071,0.800000011920929,0.10000000149011612,0.7939964532852173,0.7979998588562012,0.8680005669593811,0.841999351978302,0.790002167224884
256.8800048828125,256.8800048828125,3011.0,0.0,-11678.2470703125,-1.110784649848938,0.000375000003259629,1.0,0.699999988079071,0.800000011920929,0.10000000149011612,0.7939964532852173,0.7979998588562012,0.8680005669593811,0.841999351978302,0.790002167224884
256.8819885253906,256.88201904296875,3823.0,0.0,-11678.2470703125,-1.5550984144210815,-0.0002500000118743628,1.0,0.699999988079071,0.800000011920929,0.10000000149011612,0.7939964532852173,0.7979998588562012,0.8680005669593811,0.841999351978302,0.790002167224884
256.8840026855469,256.8840026855469,3543.0,0.0,-11678.2470703125,-5.109609127044678,0.0001250000059371814,1.0,0.699999988079071,0.800000011920929,0.10000000149011612,0.7939964532852173,0.7979998588562012,0.8680005669593811,0.841999351978302,0.790002167224884
256.885986328125,256.8860168457031,7004.0,0.0,-11678.2470703125,-1.9994122982025146,-0.0010000000474974513,1.0,0.699999988079071,0.800000011920929,0.10000000149011612,0.7939964532852173,0.7979998588562012,0.8680005669593811,0.841999351978302,0.790002167224884
256.88800048828125,256.88800048828125,4150.0,0.0,-11678.2470703125,-1.3329415321350098,0.0006250000442378223,1.0,0.699999988079071,0.800000011920929,0.10000000149011612,0.7939964532852173,0.7979998588562012,0.8680005669593811,0.841999351978302,0.790002167224884
256.8900146484375,256.8900146484375,3388.0,0.0,-11678.2470703125,-1.7772554159164429,-0.0001250000059371814,1.0,0.699999988079071,0.800000011920929,0.10000000149011612,0.7939964532852173,0.7979998588562012,0.8680005669593811,0.841999351978302,0.790002167224884
256.8919982910156,256.8919982910156,3312.0,0.0,-11678.2470703125,-1.7772554159164429,0.0,1.0,0.699999988079071,0.800000011920929,0.10000000149011612,0.7939964532852173,0.7979998588562012,0.8680005669593811,0.841999351978302,0.790002167224884
256.8940124511719,256.8940124511719,3050.0,0.0,-11678.2470703125,-1.5550984144210815,0.0,1.0,0.699999988079071,0.800000011920929,0.10000000149011612,0.7939964532852173,0.7979998588562012,0.8680005669593811,0.841999351978302,0.790002167224884
256.89599609375,256.89599609375,5196.0,0.0,-11678.2470703125,0.8886277079582214,-0.0001250000059371814,1.0,0.699999988079071,0.800000011920929,0.10000000149011612,0.7939964532852173,0.7979998588562012,0.8680005669593811,0.841999351978302,0.790002167224884
256.89801025390625,256.89801025390625,7379.0,0.0,-11678.2470703125,-1.3329415321350098,0.0005000000237487257,1.0,0.699999988079071,0.800000011920929,0.10000000149011612,0.7939964532852173,0.7979998588562012,0.8680005669593811,0.841999351978302,0.790002167224884
256.8999938964844,256.8999938964844,2284.0,0.0,-11678.2470703125,-1.5550984144210815,-0.0002500000118743628,1.0,0.699999988079071,0.800000011920929,0.10000000149011612,0.7939964532852173,0.7979998588562012,0.8680005669593811,0.841999351978302,0.790002167224884
256.9020080566406,256.9020080566406,2708.0,0.0,-11678.2470703125,-1.9994122982025146,0.0010000000474974513,1.0,0.699999988079071,0.800000011920929,0.10000000149011612,0.7939964532852173,0.7979998588562012,0.8680005669593811,0.841999351978302,0.790002167224884
256.90399169921875,256.90399169921875,2391.0,0.0,-11678.2470703125,-2.8880398273468018,0.0012500000884756446,1.0,0.699999988079071,0.800000011920929,0.10000000149011612,0.7939964532852173,0.7979998588562012,0.8680005669593811,0.841999351978302,0.790002167224884
